0,3701,3703,3704,3705,3706,3707,3708,3709,3710,3711,3712,3713,3714,3715,3716,3717,3718,3719,3720,3721,3722,3723,3724,3725,3726,3727,3728,3729,3730,3731,3732,3734,3735,3736,3737,3738,3751,3752,3753
3701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703,-2,2,0,-1,-2,-2,0,-1,-1,-1,-1,-1,-1,0,-2,-1,2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2
3704,NA,0,NA,-1,-1,-1,1,1,0,0,1,1,2,1,1,0,0,2,0,1,0,2,1,NA,0,NA,1,NA,0,NA,1,1,2,NA,-1,2,1,1,-1
3705,0,-1,1,NA,1,2,-1,1,2,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0
3706,NA,1,1,-1,NA,1,-1,1,2,-2,2,1,1,1,1,1,-1,1,2,2,1,1,1,1,NA,1,NA,2,NA,2,1,1,-1,1,-2,NA,-2,NA,-1
3707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3708,NA,1,0,-2,1,1,NA,1,1,-1,NA,1,-1,2,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,0,1,-2,NA,-2,0
3709,1,1,1,-1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,2,NA,1,NA,1,1,2,NA,1,1,1,1,NA
3710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3711,0,-1,-1,2,1,2,1,1,2,NA,1,0,0,0,0,0,-1,0,1,2,0,0,0,0,0,0,2,0,2,0,1,2,1,0,0,0,0,1,0
3712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3713,NA,0,1,-2,1,-2,1,0,0,-1,NA,NA,1,1,2,1,1,1,1,1,1,1,0,NA,1,NA,1,NA,1,NA,1,0,0,NA,1,1,1,-1,0
3714,NA,-1,0,0,-1,0,-2,-2,-1,-1,-2,-2,NA,-2,0,1,-2,1,0,-2,0,0,-2,-1,0,-2,0,1,1,-2,1,1,0,0,1,1,0,-2,-2
3715,-1,1,-1,-1,0,2,2,-2,-1,0,-1,1,-1,NA,1,1,0,0,1,1,2,1,0,-1,0,-1,1,-1,2,0,-1,1,1,-1,-2,1,0,-2,0
3716,1,1,1,0,0,1,1,1,1,1,2,2,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,2,1,0,1
3717,NA,1,0,-1,0,0,0,-1,-1,0,0,1,1,0,1,NA,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,NA,0,0,0,0,0,-1,-1
3718,-1,2,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3719,NA,0,0,0,1,1,1,1,1,1,0,0,2,1,0,-2,-2,NA,1,1,1,2,0,-1,0,NA,1,0,1,NA,1,-1,1,0,1,1,1,-2,-2
3720,NA,-1,1,1,1,1,1,1,2,-1,NA,1,1,1,1,1,-1,1,2,2,1,2,1,NA,1,NA,1,NA,1,NA,2,2,1,NA,1,2,1,1,-1
3721,NA,0,0,1,1,1,-1,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,-2
3722,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,NA,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,-2,0
3723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3728,0,0,0,0,0,1,0,2,1,2,0,-2,-1,-1,-2,-2,-1,0,1,1,1,2,0,1,0,0,NA,0,1,0,-1,0,2,0,0,1,0,1,0
3729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3730,0,0,0,-1,2,-2,NA,1,2,-2,0,NA,-1,NA,-2,NA,1,2,2,2,2,2,1,NA,0,NA,2,NA,NA,NA,2,2,2,NA,1,1,1,-2,0
3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3732,0,0,1,-2,2,0,0,0,1,-1,1,1,1,0,0,1,0,2,2,2,0,2,0,0,0,0,1,0,2,0,NA,0,1,0,1,2,2,2,-1
3734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3735,NA,0,0,-1,0,NA,NA,0,0,0,NA,0,-1,0,0,0,-2,NA,0,0,0,0,0,NA,0,NA,1,NA,0,NA,1,0,NA,NA,0,0,1,1,0
3736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3737,NA,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,1,0,1,0,-1,0,NA,0,NA,0,NA,0,NA,0,0,1,NA,NA,0,0,0,0
3738,0,0,2,-1,1,-1,1,2,-1,-2,1,1,1,-1,1,0,-1,2,1,1,1,2,2,0,1,0,2,2,0,0,2,2,2,0,NA,NA,1,2,-1
3751,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,NA,2,0,0,0,0,NA,0,0
3752,NA,0,0,-1,-2,NA,NA,-2,1,1,0,0,-2,-2,-2,1,1,NA,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
