0,2001,2006,2008,2010,2011,2012,2013,2017,2019,2023,2051,2052,2061,2091,2093
2001,NA,2,1,0,0,1,2,0,2,2,1,1,2,1,1
2006,2,1,0,0,0,0,NA,0,0,1,-2,-2,1,-1,-1
2008,1,1,-2,0,0,1,0,1,1,1,1,1,0,NA,2
2010,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2011,-1,0,-2,2,NA,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2
2012,2,0,2,0,0,NA,1,2,2,1,1,1,1,1,1
2013,2,2,0,2,2,0,2,0,2,2,2,2,2,2,0
2017,1,1,2,0,0,2,1,1,1,0,1,1,1,1,1
2019,2,0,0,0,0,1,0,-1,NA,0,1,1,2,1,1
2023,-2,-1,-2,NA,2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2
2051,0,1,-1,0,0,0,0,0,0,0,2,NA,0,2,2
2052,0,1,-1,0,0,0,-1,0,0,1,NA,2,0,1,0
2061,2,2,0,0,0,0,1,0,1,2,0,0,2,0,0
2091,2,1,NA,0,0,2,1,2,2,NA,1,1,0,1,1
2093,1,1,1,1,1,1,0,1,1,1,1,1,0,2,NA
