0,2006,2008,2010,2011,2012,2013,2017,2019,2023,2051,2052,2061,2091,2093
2006,0,0,2,0,0,2,0,2,2,0,0,2,0,0
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,-1,-2,NA,2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2
2011,-1,-2,2,NA,-2,-1,-2,-1,-1,-2,-2,-1,-2,-2
2012,1,1,0,0,NA,1,2,1,1,0,0,1,1,1
2013,1,1,-1,0,1,NA,0,0,2,-1,-2,1,0,0
2017,1,2,0,0,2,1,NA,1,1,0,1,1,1,2
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,0,1,0,0,2,0,0,NA,0,0,2,0,0
2051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
