0,2504,2518,2618,2631,2667,2703,2712,2713,2718,2803,2812,2831,2928,2963,9301,9302,9303,9304,9307,9308,9310
2504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2518,0,NA,2,1,2,1,2,2,0,0,0,0,0,2,1,NA,0,-2,0,2,2
2618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2631,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1
2667,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2703,0,0,1,1,2,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
2712,NA,1,2,1,1,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,2,1
2713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2963,0,1,0,1,1,1,1,1,0,1,0,0,0,NA,1,0,0,1,0,0,1
9301,0,1,0,1,1,1,1,1,0,1,0,0,0,1,NA,0,0,1,0,0,2
9302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9304,NA,1,0,1,2,1,1,2,NA,1,NA,0,NA,2,1,NA,NA,2,NA,2,NA
9307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
