idcode,class_1,wasthere1,lvlqlf_1,cooper_1,tchdcs_1,sbjdcs_1,inflnc_1,leadg1_1_1,leadg1_2_1,leadg1_3_1,leadg1_4_1,leadg2_1_1,leadg2_2_1,leadg2_3_1,leadg2_4_1,leadg3_1_1,leadg3_2_1,leadg3_3_1,leadg3_4_1,leadg4_1_1,leadg4_2_1,leadg4_3_1,leadg4_4_1,repeat_1,stdfld_1,seatas_1,clever_1,hrdwrk_1,hlpoth_1,hmpoth_1,blkdup_1,bdsdnd_1,agress_1,partea_1,romabg_1,disadv_1,mdisad_1,truanc_1,reprov_1,honore_1,hchild_1,partne_1,stleft_1,stcame_1,yrbrth_1,yrtchg_1,class_2,wasthere2,lvlqlf_2,cooper_2,tchdcs_2,sbjdcs_2,inflnc_2,leadg1_1_2,leadg1_2_2,leadg1_3_2,leadg1_4_2,leadg2_1_2,leadg2_2_2,leadg2_3_2,leadg2_4_2,leadg3_1_2,leadg3_2_2,leadg3_3_2,leadg3_4_2,leadg4_1_2,leadg4_2_2,leadg4_3_2,leadg4_4_2,repeat_2,stdfld_2,seatas_2,clever_2,hrdwrk_2,hlpoth_2,hmpoth_2,blkdup_2,bdsdnd_2,agress_2,partea_2,romabg_2,disadv_2,mdisad_2,truanc_2,reprov_2,honore_2,hchild_2,partne_2,stleft_2,stcame_2,yrbrth_2,yrtchg_2,class_3,wasthere3,lvlqlf_3,cooper_3,tchdcs_3,sbjdcs_3,inflnc_3,leadg1_1_3,leadg1_2_3,leadg1_3_3,leadg1_4_3,leadg2_1_3,leadg2_2_3,leadg2_3_3,leadg2_4_3,leadg3_1_3,leadg3_2_3,leadg3_3_3,leadg3_4_3,leadg4_1_3,leadg4_2_3,leadg4_3_3,leadg4_4_3,repeat_3,stdfld_3,seatas_3,clever_3,hrdwrk_3,hlpoth_3,hmpoth_3,blkdup_3,bdsdnd_3,agress_3,partea_3,romabg_3,disadv_3,mdisad_3,truanc_3,reprov_3,honore_3,hchild_3,partne_3,stleft_3,stcame_3,yrbrth_3,yrtchg_3,class_4,wasthere4,lvlqlf_4,cooper_4,tchdcs_4,sbjdcs_4,inflnc_4,leadg1_1_4,leadg1_2_4,leadg1_3_4,leadg1_4_4,leadg2_1_4,leadg2_2_4,leadg2_3_4,leadg2_4_4,leadg3_1_4,leadg3_2_4,leadg3_3_4,leadg3_4_4,leadg4_1_4,leadg4_2_4,leadg4_3_4,leadg4_4_4,repeat_4,stdfld_4,seatas_4,clever_4,hrdwrk_4,hlpoth_4,hmpoth_4,blkdup_4,bdsdnd_4,agress_4,partea_4,romabg_4,disadv_4,mdisad_4,truanc_4,reprov_4,honore_4,hchild_4,partne_4,stleft_4,stcame_4,yrbrth_4,yrtchg_4
1101,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,0,1,0,0,1,0,0,0, ,0,1,0,0,0,0,1975,1997
1103,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,1975,1997
1104,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,1,0, ,0,0,0,0,0,0,1975,1997
1105,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,1975,1997
1106,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1975,1997
1107,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1975,1997
1108,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,1975,1997
1109,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,0,1,0,0,1,0,0,0, ,0,1,0,0,0,1,1975,1997
1110,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1975,1997
1111,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,1997,1100,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1975,1997
